"cause","category"
"Atrial fibrillation and flutter","Cardiovascular diseases"
"Ischemic heart disease","Cardiovascular diseases"
"Hypertensive heart disease","Cardiovascular diseases"
"Chronic kidney disease due to diabetes mellitus type 2","Diabetes and kidney diseases"
"Chronic kidney disease due to hypertension","Diabetes and kidney diseases"
"Chronic kidney disease due to other and unspecified causes","Diabetes and kidney diseases"
"Aortic aneurysm","Cardiovascular diseases"
"Diabetes mellitus type 2","Diabetes and kidney diseases"
